date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:37	226558/226558	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202017%2018:06:17%20GMT	http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html	C:/Mis%20lugares%20Web/emol/www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html	(from )
15:06:37	525/525	---M-Z	200	added ('OK')	text/plain	etag:%22cd40ad5a332d21:0%22	http://www.emol.com/robots.txt		(from )
15:06:37	28931/28931	---M-Z	200	added ('OK')	text/css	etag:%2207deaa316a6d11:0%22	http://static.emol.cl/emol50/css/font-awesome.min.css?v=1	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/font-awesome.min3860.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:39	111138/111138	---M-Z	200	added ('OK')	text/css	etag:%227b7569c8464d31:0%22	http://static.emol.cl/emol50/css/social.min.css?v=8	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/social.min8e0e.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:41	420860/420860	---MCZ	200	added ('OK')	text/css	etag:W/%22dbb15ace65fd31:0%22	http://static.emol.cl/emol50/css/estilo.min.css?v=1	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/estilo.min3860.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:44	1973/1973	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2235b0ac929c58d31:0%22	http://static.emol.cl/emol50/js/contador_comentarios.js?v=1	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/contador_comentarios3860.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:44	240428/240428	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e1467acb7f96d11:0%22	http://static.emol.cl/emol50/js/jquery-ui.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/jquery-ui.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:44	36123/36123	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f7374c3986ad31:0%22	http://static.emol.cl/emol50/js/funcionesComun.js?v=7	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/funcionesComunbea6.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:44	39231/39231	---M-Z	200	added ('OK')	text/css	etag:%22ee8db065bd42d31:0%22	http://static.emol.cl/emol50/css/video-js.min.css	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/video-js.min.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:06:45	621/621	---M-Z	200	added ('OK')	text/css	etag:%226db2e762227ed11:0%22	http://static.emol.cl/emol50/css/videojs-resolution-switcher.css	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/videojs-resolution-switcher.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
